Field,ID,Type (Type),default,en-us,ja-jp,zh-cn,zh-tw,de-de,es-us,id-id,tr-tr,ru-ru,uk-ua
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700001058450/listingassets/2000000000016632968,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856845/listingassets/2000000000016632968,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856847/listingassets/2000000000016632968,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856849/listingassets/2000000000016632968,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853123/listingassets/2000000000016632968,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853125/listingassets/2000000000016632968,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853127/listingassets/2000000000016632968,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853129/listingassets/2000000000016632968,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853151/listingassets/2000000000016632968,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700016148329/listingassets/2000000000016632968
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700001058450/listingassets/2000000000016632980,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856845/listingassets/2000000000016632980,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856847/listingassets/2000000000016632980,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856849/listingassets/2000000000016632980,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853123/listingassets/2000000000016632980,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853125/listingassets/2000000000016632980,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853127/listingassets/2000000000016632980,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853129/listingassets/2000000000016632980,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853151/listingassets/2000000000016632980,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700016148329/listingassets/2000000000016632980
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700001058450/listingassets/3004524350846224500,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856845/listingassets/3004524350846224500,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856847/listingassets/3004524350846224500,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856849/listingassets/3004524350846224500,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853123/listingassets/3004524350846224500,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853125/listingassets/3004524350846224500,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853127/listingassets/3004524350846224500,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853129/listingassets/3004524350846224500,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853151/listingassets/3004524350846224500,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700016148329/listingassets/3004524350846224500
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700001058450/listingassets/3008309785562511456,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856845/listingassets/3008309785562511456,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856847/listingassets/3008309785562511456,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856849/listingassets/3008309785562511456,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853123/listingassets/3008309785562511456,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853125/listingassets/3008309785562511456,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853127/listingassets/3008309785562511456,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853129/listingassets/3008309785562511456,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853151/listingassets/3008309785562511456,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700016148329/listingassets/3008309785562511456
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot11,110,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot12,111,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot13,112,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot14,113,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot15,114,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot16,115,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot17,116,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot18,117,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot19,118,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot20,119,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot21,120,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot22,121,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot23,122,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot24,123,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot25,124,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot26,125,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot27,126,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot28,127,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot29,128,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot30,129,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshotCaption1,150,Text,,Blur mode (Photo by Luca Bravo on Unsplash),透かしモード (画像提供 Luca Bravo on Unsplash),模糊模式 (图片来源: Luca Bravo on Unsplash),模糊模式 (圖片來源: Luca Bravo on Unsplash),Verwischen-Modus (Foto von Luca Bravo auf Unsplash),Modo de desenfoque (Foto de Luca Bravo en Unsplash),Mode Blur (Foto oleh Luca Bravo di Unsplash),Bulanık Mod (Fotoğraf Luca Bravo tarafından Unsplash’ta),Режим Размытие (Фото Luca Bravo с Unsplash),Режим розмиття (Фото від Luca Bravo на Unsplash)
DesktopScreenshotCaption2,151,Text,,Acrylic mode (Photo by Luca Bravo on Unsplash),アクリルモード (画像提供 Luca Bravo on Unsplash),亚克力模式 (图片来源: Luca Bravo on Unsplash),亞克力模式 (圖片來源: Luca Bravo on Unsplash),Acryl-Modus (Foto von Luca Bravo auf Unsplash),Modo acrílico (Foto de Luca Bravo en Unsplash),Mode Akrilik (Foto oleh Luca Bravo di Unsplash),Akrilik Mod (Fotoğraf Luca Bravo tarafından Unsplash’ta),Акриловый режим (Фото Luca Bravo с Unsplash),Режим акрилу (Фото від Luca Bravo на Unsplash)
DesktopScreenshotCaption3,152,Text,,Clear mode (Photo by MontyLov on Unsplash),透明モード (画像提供 MontyLov on Unsplash),透明模式 (图片来源: MontyLov on Unsplash),清楚模式 (圖片來源: MontyLov on Unsplash),Klar-Modus (Foto von Luca Bravo auf Unsplash),Modo claro (Foto de MontyLov en Unsplash),Mode Bening (Foto oleh MontyLov di Unsplash),Temiz Mod (Fotoğraf MontyLov tarafından Unsplash’ta),Прозрачный режим (Фото MontyLov с Unsplash),Прозорий режим (Фото від MontyLov на Unsplash)
DesktopScreenshotCaption4,153,Text,,Acrylic mode on Windows 11 (Photo by Dan Cristian Pădureț on Unsplash),アクリルモード Windows 11 (画像提供 Dan Cristian Pădureț on Unsplash),Windows 11 上的亚克力模式 (图片来源: Dan Cristian Pădureț on Unsplash),Windows 11 上的亞克力模式 (圖片來源: Dan Cristian Pădureț on Unsplash),Acryl-Modus unter Windows 11 (Foto von Dan Cristian Pădureț auf Unsplash),Modo acrílico en Windows 11 (Foto de Dan Cristian Pădureț en Unsplash),Mode Akrilik di Windows 11 (Foto oleh Dan Cristian Pădureț di Unsplash),Windows 11’de Akrilik Mod (Fotoğraf Dan Cristian Pădureț tarafından Unsplash’ta),Акриловый режим на Windows 11 (Фото Dan Cristian Pădureț с Unsplash),Режим акрилу в Windows 11 (Фото від Dan Cristian Pădureț на Unsplash)
DesktopScreenshotCaption5,154,Text,,Clear mode on Windows 11 (Photo by Ruvim Noga on Unsplash),透明モード Windows 11 (画像提供 Ruvim Noga on Unsplash),Windows 11 上的透明模式 (图片来源: Ruvim Noga on Unsplash),Windows 11 上的清楚模式 (圖片來源: Ruvim Noga on Unsplash),Klar-Modus unter Windows 11 (Foto von Ruvim Noga auf Unsplash),Modo claro en Windows 11 (Foto de Ruvim Noga en Unsplash),Mode Bening di Windows 11 (Foto oleh Ruvim Noga di Unsplash),Windows 11’de Temiz Mod (Fotoğraf Ruvim Noga tarafından Unsplash’ta),Прозрачный режим на Windows 11 (Фото Ruvim Noga с Unsplash),Прозорий режим в Windows 11 (Фото від Ruvim Noga на Unsplash)
DesktopScreenshotCaption6,155,Text,,,,,,,,,,,
DesktopScreenshotCaption7,156,Text,,,,,,,,,,,
DesktopScreenshotCaption8,157,Text,,,,,,,,,,,
DesktopScreenshotCaption9,158,Text,,,,,,,,,,,
DesktopScreenshotCaption10,159,Text,,,,,,,,,,,
DesktopScreenshotCaption11,160,Text,,,,,,,,,,,
DesktopScreenshotCaption12,161,Text,,,,,,,,,,,
DesktopScreenshotCaption13,162,Text,,,,,,,,,,,
DesktopScreenshotCaption14,163,Text,,,,,,,,,,,
DesktopScreenshotCaption15,164,Text,,,,,,,,,,,
DesktopScreenshotCaption16,165,Text,,,,,,,,,,,
DesktopScreenshotCaption17,166,Text,,,,,,,,,,,
DesktopScreenshotCaption18,167,Text,,,,,,,,,,,
DesktopScreenshotCaption19,168,Text,,,,,,,,,,,
DesktopScreenshotCaption20,169,Text,,,,,,,,,,,
DesktopScreenshotCaption21,170,Text,,,,,,,,,,,
DesktopScreenshotCaption22,171,Text,,,,,,,,,,,
DesktopScreenshotCaption23,172,Text,,,,,,,,,,,
DesktopScreenshotCaption24,173,Text,,,,,,,,,,,
DesktopScreenshotCaption25,174,Text,,,,,,,,,,,
DesktopScreenshotCaption26,175,Text,,,,,,,,,,,
DesktopScreenshotCaption27,176,Text,,,,,,,,,,,
DesktopScreenshotCaption28,177,Text,,,,,,,,,,,
DesktopScreenshotCaption29,178,Text,,,,,,,,,,,
DesktopScreenshotCaption30,179,Text,,,,,,,,,,,
MobileScreenshot1,200,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot2,201,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot3,202,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot4,203,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot5,204,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot6,205,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot7,206,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot8,207,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot9,208,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot10,209,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot11,210,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot12,211,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot13,212,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot14,213,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot15,214,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot16,215,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot17,216,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot18,217,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot19,218,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot20,219,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot21,220,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot22,221,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot23,222,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot24,223,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot25,224,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot26,225,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot27,226,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot28,227,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot29,228,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot30,229,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshotCaption1,250,Text,,,,,,,,,,,
MobileScreenshotCaption2,251,Text,,,,,,,,,,,
MobileScreenshotCaption3,252,Text,,,,,,,,,,,
MobileScreenshotCaption4,253,Text,,,,,,,,,,,
MobileScreenshotCaption5,254,Text,,,,,,,,,,,
MobileScreenshotCaption6,255,Text,,,,,,,,,,,
MobileScreenshotCaption7,256,Text,,,,,,,,,,,
MobileScreenshotCaption8,257,Text,,,,,,,,,,,
MobileScreenshotCaption9,258,Text,,,,,,,,,,,
MobileScreenshotCaption10,259,Text,,,,,,,,,,,
MobileScreenshotCaption11,260,Text,,,,,,,,,,,
MobileScreenshotCaption12,261,Text,,,,,,,,,,,
MobileScreenshotCaption13,262,Text,,,,,,,,,,,
MobileScreenshotCaption14,263,Text,,,,,,,,,,,
MobileScreenshotCaption15,264,Text,,,,,,,,,,,
MobileScreenshotCaption16,265,Text,,,,,,,,,,,
MobileScreenshotCaption17,266,Text,,,,,,,,,,,
MobileScreenshotCaption18,267,Text,,,,,,,,,,,
MobileScreenshotCaption19,268,Text,,,,,,,,,,,
MobileScreenshotCaption20,269,Text,,,,,,,,,,,
MobileScreenshotCaption21,270,Text,,,,,,,,,,,
MobileScreenshotCaption22,271,Text,,,,,,,,,,,
MobileScreenshotCaption23,272,Text,,,,,,,,,,,
MobileScreenshotCaption24,273,Text,,,,,,,,,,,
MobileScreenshotCaption25,274,Text,,,,,,,,,,,
MobileScreenshotCaption26,275,Text,,,,,,,,,,,
MobileScreenshotCaption27,276,Text,,,,,,,,,,,
MobileScreenshotCaption28,277,Text,,,,,,,,,,,
MobileScreenshotCaption29,278,Text,,,,,,,,,,,
MobileScreenshotCaption30,279,Text,,,,,,,,,,,
XboxScreenshot1,300,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot2,301,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot3,302,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot4,303,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot5,304,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot6,305,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot7,306,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot8,307,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot9,308,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot10,309,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot11,310,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot12,311,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot13,312,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot14,313,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot15,314,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot16,315,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot17,316,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot18,317,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot19,318,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot20,319,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot21,320,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot22,321,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot23,322,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot24,323,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot25,324,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot26,325,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot27,326,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot28,327,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot29,328,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot30,329,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshotCaption1,350,Text,,,,,,,,,,,
XboxScreenshotCaption2,351,Text,,,,,,,,,,,
XboxScreenshotCaption3,352,Text,,,,,,,,,,,
XboxScreenshotCaption4,353,Text,,,,,,,,,,,
XboxScreenshotCaption5,354,Text,,,,,,,,,,,
XboxScreenshotCaption6,355,Text,,,,,,,,,,,
XboxScreenshotCaption7,356,Text,,,,,,,,,,,
XboxScreenshotCaption8,357,Text,,,,,,,,,,,
XboxScreenshotCaption9,358,Text,,,,,,,,,,,
XboxScreenshotCaption10,359,Text,,,,,,,,,,,
XboxScreenshotCaption11,360,Text,,,,,,,,,,,
XboxScreenshotCaption12,361,Text,,,,,,,,,,,
